,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
1130,11,2012-02-29,84.0,59.0,72.0,14.0,60.0,64.0,0.0,7.0,0650,1823,FG+,0.0,0.0,30.14,30.15,4.6,22.0,5.1
1131,12,2012-02-29,85.0,56.0,71.0,-1000.0,62.0,65.0,0.0,6.0,-1000,-1000,FG+ BR,0.0,0.0,30.14,30.16,4.3,22.0,5.1
1132,13,2012-02-29,53.0,24.0,39.0,-1000.0,12.0,29.0,26.0,0.0,-1000,-1000, ,-1000.0,0.0,24.02,29.81,3.2,24.0,8.5
1133,14,2012-02-29,67.0,37.0,52.0,6.0,27.0,42.0,13.0,0.0,0657,1823, ,0.0,0.0,28.54,29.93,3.2,26.0,6.9
1134,15,2012-02-29,31.0,23.0,27.0,0.0,22.0,26.0,38.0,0.0,0620,1733,SN BR,2.1,0.18,29.89,30.24,1.1,6.0,1.8
1135,16,2012-02-29,36.0,27.0,32.0,-1000.0,22.0,28.0,33.0,0.0,-1000,-1000,SN FZFG BR,-1000.0,0.25,30.15,30.22,2.5,6.0,3.0
1136,17,2012-02-29,69.0,38.0,54.0,-1000.0,24.0,42.0,11.0,0.0,-1000,-1000, ,-1000.0,-1000.0,29.25,29.95,3.0,28.0,4.0
1137,18,2012-02-29,77.0,53.0,65.0,11.0,36.0,52.0,0.0,0.0,0652,1821,RA,0.0,-1000.0,29.44,29.95,4.0,28.0,5.4
1138,19,2012-02-29,53.0,33.0,43.0,14.0,-1000.0,-1000.0,22.0,0.0,0624,1737,RA DZ SN BR,0.2,0.51,28.74,-1000.0,8.8,19.0,18.0
1139,20,2012-02-29,77.0,57.0,67.0,-1000.0,35.0,52.0,0.0,2.0,-1000,-1000, ,0.0,-1000.0,29.24,29.95,4.9,28.0,7.1
1140,1,2012-03-01,35.0,23.0,29.0,-1000.0,26.0,28.0,36.0,0.0,-1000,-1000,SN FG+ FZFG BR,-1000.0,0.47,29.72,29.89,12.6,4.0,13.8
1141,2,2012-03-01,32.0,20.0,26.0,-3.0,26.0,27.0,39.0,0.0,0623,1737,FZRA SN FZFG BR,4.3,0.54,28.69,29.83,13.3,5.0,14.1
1142,3,2012-03-01,78.0,41.0,60.0,14.0,31.0,48.0,5.0,0.0,0654,1817, ,0.0,0.0,28.89,29.64,13.2,18.0,13.8
1143,4,2012-03-01,72.0,53.0,63.0,5.0,60.0,62.0,2.0,0.0,0657,1829,BR,0.0,0.0,29.11,29.82,0.7,18.0,2.1
1144,6,2012-03-01,73.0,50.0,62.0,7.0,62.0,63.0,3.0,0.0,0657,1829,DZ BR,0.0,-1000.0,29.28,29.82,3.5,19.0,3.5
1145,7,2012-03-01,77.0,44.0,61.0,-1000.0,30.0,47.0,4.0,0.0,-1000,-1000, ,0.0,0.0,28.25,29.63,14.0,19.0,14.7
1146,8,2012-03-01,79.0,66.0,-1000.0,-1000.0,64.0,67.0,-1000.0,-1000.0,-1000,-1000,DZ BR HZ,-1000.0,0.0,29.48,-1000.0,7.2,18.0,6.5
1147,9,2012-03-01,37.0,31.0,34.0,-1000.0,28.0,31.0,31.0,0.0,-1000,-1000,SN BR,-1000.0,0.06,29.01,29.79,1.7,27.0,4.6
1148,10,2012-03-01,81.0,69.0,75.0,-1000.0,62.0,66.0,0.0,10.0,0653,1825, ,-1000.0,0.0,30.01,30.03,10.1,24.0,10.7
1149,11,2012-03-01,80.0,65.0,73.0,15.0,62.0,66.0,0.0,8.0,0653,1825, ,0.0,0.0,29.99,30.02,9.4,23.0,9.7
1150,12,2012-03-01,80.0,68.0,74.0,-1000.0,63.0,66.0,0.0,9.0,-1000,-1000, ,0.0,0.0,29.99,30.03,8.8,24.0,9.1
1151,13,2012-03-01,40.0,24.0,32.0,-1000.0,19.0,27.0,33.0,0.0,-1000,-1000,SN BR,-1000.0,-1000.0,23.94,29.72,4.5,15.0,10.8
1152,14,2012-03-01,78.0,37.0,58.0,12.0,31.0,46.0,7.0,0.0,0700,1825, ,0.0,0.0,28.25,29.64,11.6,19.0,12.4
1153,15,2012-03-01,30.0,21.0,26.0,-2.0,21.0,24.0,39.0,0.0,0623,1735,SN FG+ FZFG BR,7.1,0.61,29.54,29.93,9.1,3.0,9.5
1154,16,2012-03-01,35.0,23.0,29.0,-1000.0,30.0,31.0,36.0,0.0,-1000,-1000,RA SN FG BR UP,-1000.0,0.81,29.72,29.85,10.9,5.0,12.0
1155,17,2012-03-01,79.0,36.0,58.0,-1000.0,31.0,46.0,7.0,0.0,-1000,-1000, ,0.0,0.0,28.95,29.68,8.8,19.0,8.6
1156,18,2012-03-01,83.0,48.0,66.0,11.0,51.0,58.0,0.0,1.0,0655,1824, ,0.0,0.0,29.21,29.75,9.1,18.0,9.2
1157,19,2012-03-01,39.0,34.0,37.0,7.0,29.0,33.0,28.0,0.0,0628,1741, ,0.0,0.0,29.03,29.78,5.7,27.0,7.0
1158,20,2012-03-01,83.0,55.0,69.0,-1000.0,52.0,59.0,0.0,4.0,-1000,-1000, ,0.0,0.0,29.02,29.75,8.2,18.0,8.5
1159,1,2012-03-02,31.0,21.0,26.0,-1000.0,21.0,24.0,39.0,0.0,-1000,-1000,SN BR,-1000.0,0.0,29.97,30.13,3.6,3.0,4.2
1160,2,2012-03-02,28.0,20.0,24.0,-6.0,22.0,23.0,41.0,0.0,0622,1738,SN FG+ FZFG BR UP,0.5,0.04,28.95,30.08,4.6,9.0,6.2
1161,3,2012-03-02,67.0,39.0,53.0,6.0,36.0,44.0,12.0,0.0,0653,1818, ,0.0,0.0,29.07,29.74,8.0,33.0,11.2
1162,4,2012-03-02,83.0,59.0,71.0,13.0,51.0,60.0,0.0,6.0,0656,1830,BR HZ,0.0,0.0,29.05,29.72,2.6,2.0,5.8
1163,6,2012-03-02,83.0,55.0,69.0,14.0,55.0,62.0,0.0,4.0,0656,1829,BR HZ,0.0,0.0,29.21,29.72,5.2,3.0,10.5
1164,7,2012-03-02,60.0,39.0,50.0,-1000.0,28.0,40.0,15.0,0.0,-1000,-1000, ,0.0,0.0,28.48,29.8,12.8,34.0,14.3
1165,8,2012-03-02,79.0,63.0,-1000.0,-1000.0,54.0,62.0,-1000.0,-1000.0,-1000,-1000,HZ,-1000.0,0.0,29.37,-1000.0,0.7,13.0,6.3
1166,9,2012-03-02,37.0,28.0,33.0,-1000.0,26.0,30.0,32.0,0.0,-1000,-1000,SN BR HZ,-1000.0,-1000.0,28.92,29.68,6.5,26.0,8.0
1167,10,2012-03-02,83.0,67.0,75.0,-1000.0,61.0,66.0,0.0,10.0,0652,1826, ,-1000.0,0.0,29.96,29.97,7.5,22.0,8.2
1168,11,2012-03-02,82.0,64.0,73.0,15.0,61.0,65.0,0.0,8.0,0652,1826, ,0.0,0.0,29.94,29.97,9.2,23.0,9.4
1169,12,2012-03-02,84.0,65.0,75.0,-1000.0,61.0,66.0,0.0,10.0,-1000,-1000, ,0.0,0.0,29.93,29.97,8.2,24.0,8.5
1170,13,2012-03-02,32.0,17.0,25.0,-1000.0,13.0,20.0,40.0,0.0,-1000,-1000, ,-1000.0,-1000.0,24.13,30.03,0.2,25.0,5.8
1171,14,2012-03-02,64.0,40.0,52.0,5.0,28.0,40.0,13.0,0.0,0659,1826, ,0.0,0.0,28.46,29.79,13.3,34.0,15.9
1172,15,2012-03-02,28.0,18.0,23.0,-5.0,18.0,22.0,42.0,0.0,0621,1736,SN BR,-1000.0,0.01,29.73,30.12,2.3,13.0,3.1
1173,16,2012-03-02,35.0,21.0,28.0,-1000.0,22.0,25.0,37.0,0.0,-1000,-1000,SN,-1000.0,0.0,30.0,30.1,4.3,36.0,5.8
1174,17,2012-03-02,67.0,35.0,51.0,-1000.0,35.0,44.0,14.0,0.0,-1000,-1000,BR,0.0,0.0,29.13,29.78,4.9,34.0,7.9
1175,18,2012-03-02,72.0,53.0,63.0,7.0,43.0,53.0,2.0,0.0,0654,1824, ,0.0,0.0,29.26,29.76,7.2,32.0,12.9
1176,19,2012-03-02,38.0,32.0,35.0,5.0,-1000.0,-1000.0,30.0,0.0,0626,1742,RA SN BR HZ,4.2,0.64,28.77,-1000.0,7.6,36.0,12.7
1177,20,2012-03-02,73.0,53.0,63.0,-1000.0,43.0,53.0,2.0,0.0,-1000,-1000,BR,0.0,0.0,29.07,29.75,8.0,32.0,13.2
1178,1,2012-03-03,43.0,30.0,37.0,-1000.0,34.0,37.0,28.0,0.0,-1000,-1000,RA SN FG+ BR,-1000.0,0.47,29.46,29.58,1.9,17.0,4.6
1179,2,2012-03-03,41.0,28.0,35.0,5.0,33.0,35.0,30.0,0.0,0620,1739,RA FZRA FG+ FG FZFG BR,0.2,0.53,28.5,29.57,3.6,24.0,8.5
1180,3,2012-03-03,56.0,31.0,44.0,-3.0,23.0,37.0,21.0,0.0,0651,1819, ,0.0,0.0,29.32,30.02,8.1,30.0,8.7
1181,4,2012-03-03,66.0,45.0,56.0,-3.0,27.0,45.0,9.0,0.0,0655,1830, ,0.0,-1000.0,29.39,30.05,7.3,1.0,8.0
1182,6,2012-03-03,65.0,40.0,53.0,-3.0,32.0,45.0,12.0,0.0,0655,1830,RA,0.0,-1000.0,29.55,30.04,13.2,36.0,14.1
1183,7,2012-03-03,55.0,31.0,43.0,-1000.0,20.0,36.0,22.0,0.0,-1000,-1000, ,0.0,0.0,28.7,30.06,7.0,32.0,8.1
1184,8,2012-03-03,64.0,45.0,-1000.0,-1000.0,35.0,47.0,-1000.0,-1000.0,-1000,-1000,RA,-1000.0,0.04,29.66,-1000.0,8.6,36.0,9.0
1185,9,2012-03-03,29.0,18.0,24.0,-1000.0,16.0,21.0,41.0,0.0,-1000,-1000,SN BR,-1000.0,-1000.0,29.02,29.78,13.8,28.0,14.0
1186,10,2012-03-03,88.0,69.0,79.0,-1000.0,64.0,69.0,0.0,14.0,0651,1827, ,-1000.0,0.02,29.78,29.79,14.3,21.0,14.7
1187,11,2012-03-03,88.0,63.0,76.0,17.0,63.0,67.0,0.0,11.0,0651,1827,RA MIFG BR,0.0,0.0,29.77,29.78,11.9,21.0,13.3
1188,12,2012-03-03,88.0,68.0,78.0,-1000.0,64.0,69.0,0.0,13.0,-1000,-1000,RA,0.0,-1000.0,29.77,29.79,14.8,22.0,15.0
1189,13,2012-03-03,44.0,16.0,30.0,-1000.0,6.0,25.0,35.0,0.0,-1000,-1000, ,-1000.0,0.0,24.2,30.09,14.3,30.0,15.4
1190,14,2012-03-03,55.0,34.0,45.0,-2.0,20.0,36.0,20.0,0.0,0658,1826, ,0.0,0.0,28.69,30.05,6.7,32.0,8.0
1191,15,2012-03-03,39.0,28.0,34.0,5.0,32.0,33.0,31.0,0.0,0619,1737,RA FZRA SN FZFG BR UP,1.8,0.65,29.23,29.57,1.0,23.0,4.6
1192,16,2012-03-03,42.0,33.0,38.0,-1000.0,36.0,38.0,27.0,0.0,-1000,-1000,RA SN FG+ FG BR,-1000.0,0.4,29.49,29.55,4.9,17.0,9.1
1193,17,2012-03-03,57.0,29.0,43.0,-1000.0,22.0,37.0,22.0,0.0,-1000,-1000, ,0.0,0.0,29.39,30.05,2.8,31.0,4.0
1194,18,2012-03-03,62.0,44.0,53.0,-3.0,29.0,43.0,12.0,0.0,0653,1825, ,0.0,0.0,29.57,30.06,5.2,34.0,6.9
1195,19,2012-03-03,34.0,27.0,31.0,1.0,22.0,28.0,34.0,0.0,0625,1743,SN,-1000.0,-1000.0,28.94,29.68,12.7,27.0,12.9
1196,20,2012-03-03,62.0,41.0,52.0,-1000.0,28.0,42.0,13.0,0.0,-1000,-1000, ,0.0,0.0,29.36,30.05,6.7,34.0,8.3
1197,1,2012-03-04,41.0,31.0,36.0,-1000.0,21.0,31.0,29.0,0.0,-1000,-1000, ,-1000.0,0.0,29.44,29.62,5.3,24.0,5.8
1198,2,2012-03-04,39.0,28.0,34.0,4.0,19.0,28.0,31.0,0.0,0618,1741, ,0.0,0.0,28.5,29.61,7.7,27.0,8.1
1199,3,2012-03-04,71.0,33.0,52.0,5.0,26.0,42.0,13.0,0.0,0650,1820, ,0.0,0.0,29.33,30.03,7.9,28.0,9.0
1200,4,2012-03-04,73.0,42.0,58.0,-1.0,32.0,46.0,7.0,0.0,0654,1831, ,0.0,0.0,29.51,30.19,1.9,20.0,4.0
1201,6,2012-03-04,71.0,31.0,51.0,-5.0,34.0,44.0,14.0,0.0,0654,1831, ,0.0,0.0,29.67,30.19,6.1,20.0,6.4
1202,7,2012-03-04,71.0,32.0,52.0,-1000.0,25.0,40.0,13.0,0.0,-1000,-1000, ,0.0,0.0,28.71,30.08,7.2,26.0,9.1
1203,8,2012-03-04,70.0,36.0,-1000.0,-1000.0,35.0,46.0,-1000.0,-1000.0,-1000,-1000, ,-1000.0,0.0,29.85,-1000.0,3.5,21.0,3.6
1204,9,2012-03-04,30.0,10.0,20.0,-1000.0,11.0,18.0,45.0,0.0,-1000,-1000, ,-1000.0,0.0,29.21,29.97,5.6,30.0,6.2
1205,10,2012-03-04,76.0,50.0,63.0,-1000.0,35.0,48.0,2.0,0.0,0650,1827,RA BR,-1000.0,0.45,29.88,29.96,11.7,31.0,13.9
1206,11,2012-03-04,74.0,42.0,-1000.0,-1000.0,34.0,45.0,-1000.0,-1000.0,0650,1827,RA BR,0.0,0.59,29.88,29.97,10.9,30.0,11.8
1207,12,2012-03-04,75.0,39.0,57.0,-1000.0,37.0,47.0,8.0,0.0,-1000,-1000,RA BR VCTS,0.0,0.48,29.86,29.96,11.9,31.0,13.1
1208,13,2012-03-04,60.0,32.0,46.0,-1000.0,14.0,34.0,19.0,0.0,-1000,-1000, ,-1000.0,0.0,24.29,30.07,9.7,29.0,11.6
1209,14,2012-03-04,71.0,29.0,50.0,3.0,23.0,40.0,15.0,0.0,0656,1827, ,0.0,0.0,28.71,30.08,7.1,26.0,8.6
1210,15,2012-03-04,42.0,21.0,32.0,3.0,20.0,28.0,33.0,0.0,0618,1738, ,0.0,0.0,29.2,29.59,2.7,25.0,4.1
1211,16,2012-03-04,40.0,31.0,36.0,-1000.0,22.0,31.0,29.0,0.0,-1000,-1000, ,-1000.0,0.0,29.47,29.59,4.4,26.0,4.6
1212,17,2012-03-04,72.0,28.0,50.0,-1000.0,24.0,40.0,15.0,0.0,-1000,-1000, ,0.0,0.0,29.39,30.06,4.2,28.0,5.6
1213,18,2012-03-04,75.0,38.0,57.0,1.0,27.0,44.0,8.0,0.0,0652,1826, ,0.0,0.0,29.62,30.13,3.1,23.0,3.4
1214,19,2012-03-04,28.0,20.0,24.0,-7.0,20.0,24.0,41.0,0.0,0623,1744,SN BR HZ,0.9,0.02,29.15,29.88,5.7,35.0,6.6
1215,20,2012-03-04,74.0,41.0,58.0,-1000.0,25.0,45.0,7.0,0.0,-1000,-1000, ,0.0,0.0,29.41,30.12,7.8,24.0,8.1
1216,1,2012-03-05,35.0,22.0,29.0,-1000.0,11.0,24.0,36.0,0.0,-1000,-1000, ,-1000.0,0.0,29.72,29.97,9.1,28.0,10.7
1217,2,2012-03-05,31.0,18.0,25.0,-6.0,7.0,20.0,40.0,0.0,0617,1742, ,0.0,0.0,28.77,29.97,14.1,28.0,14.6
1218,3,2012-03-05,73.0,39.0,56.0,8.0,29.0,45.0,9.0,0.0,0649,1821, ,0.0,0.0,29.46,30.2,7.5,16.0,11.0
1219,4,2012-03-05,76.0,47.0,62.0,3.0,39.0,50.0,3.0,0.0,0653,1832, ,0.0,0.0,29.57,30.27,5.0,17.0,5.9
1220,6,2012-03-05,76.0,33.0,55.0,-1.0,40.0,48.0,10.0,0.0,0653,1832, ,0.0,0.0,29.73,30.28,8.0,17.0,8.2
1221,7,2012-03-05,75.0,40.0,58.0,-1000.0,29.0,45.0,7.0,0.0,-1000,-1000, ,0.0,0.0,28.77,30.17,12.0,16.0,16.0
1222,8,2012-03-05,75.0,41.0,-1000.0,-1000.0,43.0,50.0,-1000.0,-1000.0,-1000,-1000, ,-1000.0,0.0,29.93,-1000.0,5.2,17.0,5.7
1223,9,2012-03-05,36.0,16.0,26.0,-1000.0,20.0,24.0,39.0,0.0,-1000,-1000,BR,-1000.0,0.0,29.3,30.1,8.5,16.0,10.3
1224,10,2012-03-05,78.0,44.0,61.0,-1000.0,33.0,48.0,4.0,0.0,0649,1828, ,-1000.0,0.0,30.24,30.28,8.1,28.0,10.9
1225,11,2012-03-05,77.0,37.0,57.0,-2.0,31.0,45.0,8.0,0.0,0649,1828, ,0.0,0.0,30.22,30.28,8.0,27.0,10.3
1226,12,2012-03-05,77.0,36.0,57.0,-1000.0,34.0,47.0,8.0,0.0,-1000,-1000, ,0.0,0.0,30.22,30.28,5.7,30.0,7.7
1227,13,2012-03-05,66.0,32.0,49.0,-1000.0,8.0,35.0,16.0,0.0,-1000,-1000, ,-1000.0,0.0,24.17,29.92,8.9,24.0,11.8
1228,14,2012-03-05,75.0,42.0,59.0,11.0,30.0,45.0,6.0,0.0,0655,1828, ,0.0,0.0,28.77,30.17,10.0,16.0,14.4
1229,15,2012-03-05,29.0,16.0,23.0,-6.0,9.0,20.0,42.0,0.0,0616,1740,SN,-1000.0,-1000.0,29.5,29.97,9.9,30.0,10.4
1230,16,2012-03-05,36.0,22.0,29.0,-1000.0,11.0,24.0,36.0,0.0,-1000,-1000, ,-1000.0,0.0,29.75,29.94,10.3,29.0,11.9
1231,17,2012-03-05,75.0,36.0,56.0,-1000.0,27.0,44.0,9.0,0.0,-1000,-1000,FU,0.0,0.0,29.52,30.23,5.7,16.0,8.6
1232,18,2012-03-05,79.0,47.0,63.0,7.0,35.0,49.0,2.0,0.0,0651,1827, ,0.0,0.0,29.7,30.22,7.6,18.0,8.2
1233,19,2012-03-05,32.0,15.0,24.0,-7.0,16.0,23.0,41.0,0.0,0621,1745,BR HZ,0.0,0.0,29.5,30.26,4.1,21.0,6.5
1234,20,2012-03-05,78.0,52.0,65.0,-1000.0,33.0,49.0,0.0,0.0,-1000,-1000, ,0.0,0.0,29.51,30.22,6.9,19.0,7.9
1235,1,2012-03-06,38.0,17.0,28.0,-1000.0,3.0,21.0,37.0,0.0,-1000,-1000, ,-1000.0,0.0,30.32,30.52,5.8,30.0,6.9
1236,2,2012-03-06,35.0,12.0,24.0,-7.0,3.0,19.0,41.0,0.0,0615,1743, ,0.0,0.0,29.31,30.5,7.5,28.0,9.2
1237,3,2012-03-06,71.0,55.0,63.0,15.0,43.0,53.0,2.0,0.0,0647,1822, ,0.0,0.0,29.21,29.95,21.8,17.0,22.0
1238,4,2012-03-06,75.0,54.0,65.0,6.0,52.0,57.0,0.0,0.0,0652,1832, ,0.0,0.0,29.39,30.11,9.4,17.0,10.5
1239,6,2012-03-06,76.0,51.0,64.0,8.0,53.0,57.0,1.0,0.0,0651,1832, ,0.0,0.0,29.56,30.11,15.2,16.0,15.3
1240,7,2012-03-06,70.0,56.0,63.0,-1000.0,44.0,52.0,2.0,0.0,-1000,-1000, ,0.0,0.0,28.51,29.9,28.4,18.0,28.7
1241,8,2012-03-06,73.0,50.0,-1000.0,-1000.0,54.0,58.0,-1000.0,-1000.0,-1000,-1000, ,-1000.0,0.0,29.79,-1000.0,9.7,16.0,9.6
1242,9,2012-03-06,59.0,31.0,45.0,-1000.0,33.0,38.0,20.0,0.0,-1000,-1000, ,-1000.0,0.0,28.87,29.67,7.1,15.0,7.8
1243,10,2012-03-06,72.0,53.0,63.0,-1000.0,46.0,55.0,2.0,0.0,0647,1829, ,-1000.0,0.0,30.42,30.45,11.7,8.0,13.8
1244,11,2012-03-06,71.0,40.0,56.0,-3.0,43.0,51.0,9.0,0.0,0648,1829, ,0.0,0.0,30.42,30.47,10.0,7.0,10.9
1245,12,2012-03-06,71.0,57.0,64.0,-1000.0,47.0,55.0,1.0,0.0,-1000,-1000, ,0.0,0.0,30.41,30.46,10.8,8.0,11.6
1246,13,2012-03-06,70.0,39.0,55.0,-1000.0,7.0,36.0,10.0,0.0,-1000,-1000, ,-1000.0,0.0,23.85,29.49,14.1,21.0,15.9
1247,14,2012-03-06,69.0,54.0,62.0,14.0,44.0,52.0,3.0,0.0,0654,1829, ,0.0,0.0,28.52,29.91,26.0,18.0,26.1
1248,15,2012-03-06,35.0,10.0,23.0,-7.0,4.0,17.0,42.0,0.0,0614,1741, ,0.0,0.0,30.08,30.5,4.5,32.0,5.1
1249,16,2012-03-06,38.0,17.0,28.0,-1000.0,3.0,21.0,37.0,0.0,-1000,-1000, ,-1000.0,0.0,30.35,30.48,7.8,31.0,8.4
1250,17,2012-03-06,72.0,55.0,64.0,-1000.0,42.0,53.0,1.0,0.0,-1000,-1000, ,0.0,0.0,29.28,29.99,17.0,18.0,17.3
1251,18,2012-03-06,72.0,54.0,63.0,7.0,49.0,56.0,2.0,0.0,0649,1827, ,0.0,0.0,29.53,30.07,19.0,17.0,19.3
1252,19,2012-03-06,63.0,30.0,47.0,16.0,31.0,39.0,18.0,0.0,0620,1747, ,0.0,0.0,29.16,29.95,14.5,20.0,14.9
1253,20,2012-03-06,72.0,53.0,63.0,-1000.0,49.0,55.0,2.0,0.0,-1000,-1000, ,0.0,0.0,29.34,30.06,14.0,17.0,14.2
1254,1,2012-03-07,60.0,27.0,44.0,-1000.0,26.0,37.0,21.0,0.0,-1000,-1000, ,-1000.0,0.0,30.24,30.37,9.6,21.0,9.7
1255,2,2012-03-07,56.0,28.0,42.0,11.0,26.0,36.0,23.0,0.0,0613,1744, ,0.0,0.0,29.28,30.38,17.2,23.0,17.4
1256,3,2012-03-07,71.0,62.0,67.0,18.0,54.0,59.0,0.0,2.0,0646,1823, ,0.0,0.0,29.16,29.88,20.2,17.0,20.3
1257,4,2012-03-07,73.0,64.0,69.0,9.0,61.0,64.0,0.0,4.0,0651,1833,HZ,0.0,0.01,29.25,29.95,9.8,16.0,9.8
1258,6,2012-03-07,73.0,64.0,69.0,12.0,63.0,65.0,0.0,4.0,0650,1833,RA BR,0.0,0.01,29.41,29.94,15.2,16.0,15.4
1259,7,2012-03-07,74.0,61.0,68.0,-1000.0,55.0,60.0,0.0,3.0,-1000,-1000, ,0.0,0.0,28.46,29.82,24.7,17.0,24.9
1260,8,2012-03-07,73.0,64.0,-1000.0,-1000.0,61.0,64.0,-1000.0,-1000.0,-1000,-1000,RA,-1000.0,0.0,29.62,-1000.0,12.5,16.0,12.5
1261,9,2012-03-07,50.0,28.0,39.0,-1000.0,34.0,37.0,26.0,0.0,-1000,-1000,RA BR HZ,-1000.0,0.01,28.97,29.71,7.4,30.0,9.3
1262,10,2012-03-07,75.0,65.0,70.0,-1000.0,52.0,60.0,0.0,5.0,0646,1830, ,-1000.0,0.0,30.4,30.41,12.2,11.0,12.5
1263,11,2012-03-07,76.0,58.0,67.0,7.0,52.0,58.0,0.0,2.0,0646,1829, ,0.0,0.0,30.4,30.43,9.3,10.0,9.7
1264,12,2012-03-07,75.0,64.0,70.0,-1000.0,54.0,60.0,0.0,5.0,-1000,-1000, ,0.0,-1000.0,30.4,30.43,9.5,11.0,9.7
1265,13,2012-03-07,49.0,26.0,38.0,-1000.0,25.0,28.0,27.0,0.0,-1000,-1000,FZRA FZDZ SN BR,-1000.0,-1000.0,24.13,29.91,5.7,2.0,6.8
1266,14,2012-03-07,73.0,61.0,67.0,19.0,55.0,59.0,0.0,2.0,0652,1830, ,0.0,0.0,28.46,29.83,22.9,17.0,23.2
1267,15,2012-03-07,55.0,15.0,35.0,5.0,22.0,32.0,30.0,0.0,0613,1742, ,0.0,0.0,29.99,30.35,4.5,18.0,5.3
1268,16,2012-03-07,62.0,25.0,-1000.0,-1000.0,27.0,38.0,-1000.0,-1000.0,-1000,-1000, ,-1000.0,0.0,30.29,30.36,11.1,22.0,11.5
1269,17,2012-03-07,71.0,63.0,67.0,-1000.0,53.0,59.0,0.0,2.0,-1000,-1000, ,0.0,0.0,29.22,29.92,15.4,18.0,15.5
1270,18,2012-03-07,71.0,64.0,68.0,12.0,59.0,62.0,0.0,3.0,0648,1828,RA DZ BR,0.0,0.02,29.41,29.94,18.3,16.0,18.5
1271,19,2012-03-07,66.0,52.0,59.0,27.0,42.0,50.0,6.0,0.0,0618,1748,RA BR,0.0,0.06,29.05,29.82,22.3,21.0,22.7
1272,20,2012-03-07,71.0,65.0,68.0,-1000.0,59.0,62.0,0.0,3.0,-1000,-1000,RA BR,0.0,0.05,29.21,29.94,13.5,16.0,13.8
1273,1,2012-03-08,71.0,49.0,60.0,-1000.0,44.0,51.0,5.0,0.0,-1000,-1000,RA HZ,-1000.0,0.0,29.88,29.99,17.8,21.0,17.9
1274,2,2012-03-08,64.0,45.0,55.0,23.0,43.0,49.0,10.0,0.0,0612,1745,RA,0.0,-1000.0,28.97,30.01,22.7,22.0,23.1
1275,3,2012-03-08,65.0,33.0,49.0,0.0,37.0,40.0,16.0,0.0,0645,1824,TSRA RA DZ BR,-1000.0,0.36,29.62,30.27,11.5,36.0,12.3
1276,4,2012-03-08,76.0,46.0,61.0,1.0,59.0,61.0,4.0,0.0,0649,1834,RA BR,0.0,0.04,29.35,30.0,1.8,16.0,10.3
1277,6,2012-03-08,76.0,48.0,62.0,5.0,61.0,63.0,3.0,0.0,0649,1834,RA DZ BR,0.0,0.11,29.51,29.99,3.6,17.0,13.1
1278,7,2012-03-08,66.0,35.0,51.0,-1000.0,34.0,38.0,14.0,0.0,-1000,-1000,RA BR VCTS,-1000.0,0.84,28.95,30.28,17.6,1.0,19.6
1279,8,2012-03-08,73.0,50.0,-1000.0,-1000.0,60.0,63.0,-1000.0,-1000.0,-1000,-1000,RA DZ HZ,-1000.0,0.33,29.64,-1000.0,2.6,15.0,10.7
1280,9,2012-03-08,37.0,22.0,30.0,-1000.0,17.0,26.0,35.0,0.0,-1000,-1000,SN BR,-1000.0,-1000.0,29.44,30.17,14.0,29.0,15.1
1281,10,2012-03-08,80.0,62.0,71.0,-1000.0,60.0,64.0,0.0,6.0,0645,1830,RA MIFG,-1000.0,0.02,30.26,30.27,5.3,14.0,5.8
1282,11,2012-03-08,79.0,52.0,66.0,5.0,58.0,61.0,0.0,1.0,0645,1830, ,0.0,-1000.0,30.25,30.27,6.2,13.0,6.6
1283,12,2012-03-08,80.0,55.0,68.0,-1000.0,60.0,63.0,0.0,3.0,-1000,-1000,BR,0.0,0.0,30.24,30.28,6.3,14.0,6.4
1284,13,2012-03-08,45.0,22.0,34.0,-1000.0,13.0,25.0,31.0,0.0,-1000,-1000,SN,-1000.0,-1000.0,24.55,30.5,1.1,9.0,4.1
1285,14,2012-03-08,65.0,36.0,51.0,2.0,35.0,39.0,14.0,0.0,0651,1831,TSRA RA BR,-1000.0,0.49,28.92,30.25,17.5,1.0,19.1
1286,15,2012-03-08,66.0,37.0,52.0,22.0,41.0,47.0,13.0,0.0,0611,1743,RA HZ,0.0,0.0,29.61,29.94,10.8,20.0,11.3
1287,16,2012-03-08,70.0,50.0,60.0,-1000.0,44.0,51.0,5.0,0.0,-1000,-1000, ,-1000.0,0.0,29.92,29.98,17.7,22.0,17.9
1288,17,2012-03-08,65.0,38.0,52.0,-1000.0,36.0,41.0,13.0,0.0,-1000,-1000,RA,-1000.0,0.49,29.65,30.28,10.1,2.0,10.6
1289,18,2012-03-08,72.0,44.0,58.0,1.0,53.0,55.0,7.0,0.0,0647,1829,RA DZ BR,0.0,0.17,29.59,30.07,3.9,2.0,14.6
1290,19,2012-03-08,55.0,35.0,45.0,13.0,24.0,34.0,20.0,0.0,0616,1749,RA BR HZ,-1000.0,0.27,29.31,30.03,15.0,29.0,15.7
1291,20,2012-03-08,72.0,44.0,58.0,-1000.0,53.0,56.0,7.0,0.0,-1000,-1000,RA BR,0.0,0.3,29.38,30.06,4.7,1.0,13.4
